TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
24/04/2020,24,Osona,08224,Sant Martí de Centelles,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08163,Pineda de Mar,0,Home,Positiu,1
24/04/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,0,Home,Sospitós,16
24/04/2020,07,Bages,08113,Manresa,0,Home,Positiu,3
24/04/2020,34,Selva,17193,Sils,0,Home,Sospitós,2
24/04/2020,10,Baix Empordà ,17124,Pals,1,Dona,Sospitós,1
24/04/2020,04,Alt Urgell,25149,Oliana,1,Dona,Sospitós,1
24/04/2020,24,Osona,08265,Sant Vicenç de Torelló,1,Dona,Sospitós,1
24/04/2020,41,Vallès Oriental,08106,Llinars del Vallès,1,Dona,Sospitós,1
24/04/2020,10,Baix Empordà ,17160,Sant Feliu de Guíxols,0,Home,Sospitós,5
24/04/2020,02,Alt Empordà ,17029,Boadella d'Empordà,0,Home,Sospitós,1
24/04/2020,36,Tarragonès,43131,Roda de Berà,0,Home,Sospitós,1
24/04/2020,02,Alt Empordà ,17047,Castelló d'Empúries,1,Dona,Sospitós,1
24/04/2020,33,Segrià ,25233,Torre-Serona,1,Dona,Sospitós,2
24/04/2020,21,Maresme,08003,Alella,1,Dona,Sospitós,1
24/04/2020,24,Osona,08026,El Brull,1,Dona,Sospitós,1
24/04/2020,24,Osona,08237,Sant Quirze de Besora,1,Dona,Sospitós,30
24/04/2020,20,Gironès,17040,Canet d'Adri,1,Dona,Sospitós,1
24/04/2020,31,Ripollès,17039,Camprodon,0,Home,Sospitós,1
24/04/2020,11,Baix Llobregat,08077,Esplugues de Llobregat,1,Dona,Sospitós,3
24/04/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,0,Home,Positiu,2
24/04/2020,13,Barcelonès,08019,Barcelona,1,Dona,Sospitós,248
24/04/2020,24,Osona,08298,Vic,1,Dona,Positiu,4
24/04/2020,19,Garrotxa,17114,Olot,1,Dona,Sospitós,34
24/04/2020,02,Alt Empordà ,17152,Roses,1,Dona,Sospitós,5
24/04/2020,40,Vallès Occidental,08238,Sant Quirze del Vallès,1,Dona,Sospitós,2
24/04/2020,24,Osona,08233,Sant Pere de Torelló,1,Dona,Sospitós,22
24/04/2020,11,Baix Llobregat,08089,Gavà,1,Dona,Sospitós,4
24/04/2020,24,Osona,08283,Tona,0,Home,Sospitós,1
24/04/2020,24,Osona,08298,Vic,0,Home,Sospitós,12
24/04/2020,41,Vallès Oriental,08202,Sant Celoni,0,Home,Sospitós,2
24/04/2020,10,Baix Empordà ,17034,Calonge i Sant Antoni,1,Dona,Positiu,4
24/04/2020,07,Bages,08262,Sant Vicenç de Castellet,1,Dona,Sospitós,1
24/04/2020,20,Gironès,17079,Girona,1,Dona,Positiu,5
24/04/2020,10,Baix Empordà ,17048,Castell-Platja d'Aro,0,Home,Sospitós,3
24/04/2020,21,Maresme,08219,Vilassar de Mar,1,Dona,Sospitós,1
24/04/2020,,,,(Altres municipis),1,Dona,Sospitós,2
24/04/2020,10,Baix Empordà ,17204,Ullà,1,Dona,Sospitós,1
24/04/2020,34,Selva,17009,Arbúcies,1,Dona,Sospitós,3
24/04/2020,07,Bages,08038,Callús,1,Dona,Sospitós,1
24/04/2020,24,Osona,08215,Sant Hipòlit de Voltregà,0,Home,Sospitós,1
24/04/2020,34,Selva,17180,Santa Coloma de Farners,1,Dona,Positiu,1
24/04/2020,23,Noguera,25150,Oliola,0,Home,Sospitós,1
24/04/2020,10,Baix Empordà ,17118,Palamós,1,Dona,Positiu,4
24/04/2020,24,Osona,08183,Roda de Ter,1,Dona,Sospitós,4
24/04/2020,19,Garrotxa,17114,Olot,0,Home,Positiu,2
24/04/2020,11,Baix Llobregat,08217,Sant Joan Despí,0,Home,Positiu,1
24/04/2020,33,Segrià ,25120,Lleida,1,Dona,Sospitós,10
24/04/2020,07,Bages,08141,Navàs,1,Dona,Positiu,1
24/04/2020,39,Aran,25025,Naut Aran,1,Dona,Sospitós,2
24/04/2020,40,Vallès Occidental,08187,Sabadell,1,Dona,Sospitós,33
24/04/2020,39,Aran,25243,Vielha e Mijaran,0,Home,Positiu,2
24/04/2020,07,Bages,08061,Castellgalí,1,Dona,Sospitós,1
24/04/2020,08,Baix Camp,43123,Reus,0,Home,Sospitós,3
